"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-02","-6.427638","54.432107","Seagoe Gardens","ASBO","PORTADOWN","22,611"
"2015-02","-5.870112","54.597551","Earlswood Road","OTTH","BELFAST","335,665"
"2015-02","-5.566302","54.538849","Mid Island Park","ASBO","NEWTOWNARDS","28,654"
"2015-01","-5.992059","54.750356","Collin View","VISO","BALLYCLARE","18,675"
"2015-01","-6.215174","54.732904","Glencraig Manor","VISO","ANTRIM","21,896"
"2015-02","-5.542468","54.635746","Erindee Park","ASBO","DONAGHADEE","6,926"
"2015-01","-5.936300","54.608815","Antrim Road","CDAR","TEMPLEPATRICK","1,518"
"2015-02","-6.464282","54.423136","Westland Road","ASBO","BALLYWALTER","2,123"
"2015-02","-6.375182","54.189141","Cloughreagh Park","VECR","BESSBROOK","2,817"
"2015-01","-6.003626","54.552360","Railway Street","BITH","COMBER","9,256"
"2015-01","-5.925996","54.617237","Gainsborough Drive","ASBO","BELFAST","335,665"
"2015-02","-5.936493","54.607453","Carlisle Circus","ASBO","BELFAST","335,665"
"2015-01","-5.897613","54.207160","Shan Slieve Drive","VISO","NEWCASTLE","7,524"
"2015-02","-5.948095","54.669080","Collinward Grove","ASBO","NEWTOWNABBEY","118,261"
"2015-01","-5.922688","54.571258","Upper Courtyard","OTTH","BELFAST","335,665"
"2015-01","-6.274331","54.859755","Waring Street","VISO","BELFAST","335,665"
"2015-01","-6.218029","54.714214","Railway Street","SHOP","COMBER","9,256"
"2015-02","-6.216598","54.620566","Orchard Road","VISO","STRABANE","17,695"
"2015-01","-6.521770","55.201527","Main Street","BURG","BALLYMONEY","11,365"
"2015-02","-7.307128","55.030861","Steelstown Road","VISO","LONDONDERRY","87,269"
"2015-01","-7.455138","54.821328","Marian Park","ASBO","DOWNPATRICK","11,012"
"2015-01","-5.709197","54.597064","Westland Drive","ASBO","BALLYWALTER","2,123"
"2015-02","-5.947645","54.595917","Mcdonnell Court","VISO","BELFAST","335,665"
"2015-01","-7.652343","54.345442","Windmill Heights","ASBO","DUNGANNON","15,987"
"2015-01","-5.957705","54.687625","Manse Terrace","ASBO","NEWTOWNABBEY","118,261"
"2015-02","-7.321893","54.999244","Great James Street","VISO","LONDONDERRY","87,269"
"2015-02","-5.672622","54.649228","Hill Crest","ASBO","BANGOR","62,789"
"2015-02","-5.930750","54.600140","Berry Street","OTCR","BELFAST","335,665"
"2015-02","-6.006843","54.067927","Cromlech Park","OTTH","PORTSTEWART","7,825"
"2015-01","-7.322371","55.001493","Asylum Road","DRUG","LONDONDERRY","87,269"
"2015-02","-5.976908","54.593705","Westrock Park","BURG","BELFAST","335,665"
"2015-01","-6.455449","54.432251","Garvaghy Road","VISO","PORTADOWN","22,611"
"2015-02","-5.807457","54.845813","The Harbour Highway","OTTH",NA,NA
"2015-01","-6.637117","55.196043","Ballywillin Crescent","CDAR","PORTRUSH","6,621"
"2015-02","-6.744976","54.645884","Central Avenue","SHOP","PORTSTEWART","7,825"
"2015-02","-6.359608","55.019682","Culcrum Road","ASBO","",NA
"2015-01","-6.350768","54.874248","Mount Davys Road","VISO","CULLYBACKEY","245"
"2015-02","-5.955400","54.606372","Dewey Street","PUBO","BELFAST","335,665"
"2015-01","-5.898782","54.403657","Church Lane","ASBO","PORTADOWN","22,611"
"2015-02","-5.612615","54.265370","Crew Hill Gardens","ASBO","ARDGLASS","1,923"
"2015-01","-5.933747","54.589552","Donegall Pass","VISO","BELFAST","335,665"
"2015-02","-5.805613","54.736899","Bessfield Close","ASBO","CARRICKFERGUS","28,653"
"2015-02","-7.216132","54.980194","Lettershendony Avenue","ASBO","DRUMAHOE","1,369"
"2015-02","-5.930208","54.650141","Serpentine Road","OTTH","NEWTOWNABBEY","118,261"
"2015-01","-5.955366","54.595940","Springfield Road","ASBO","BANGOR","62,789"
"2015-01","-5.934292","54.600173","Berry Street","SHOP","BELFAST","335,665"
"2015-02","-5.706191","54.589693","Dromena Gardens","OTTH","NEWTOWNARDS","28,654"
"2015-02","-7.462457","54.817282","Ballycolman Estate","CDAR","STRABANE","17,695"
"2015-01","-6.672050","55.131625","Queen Street","ASBO","LONDONDERRY","87,269"
"2015-01","-6.976726","54.412225","Coronation Park","ASBO","DUNDONALD","16,257"
"2015-02","-5.942221","54.659852","Floral Park","ASBO","NEWTOWNABBEY","118,261"
"2015-02","-6.450649","54.431632","Churchill Park","DRUG","PORTADOWN","22,611"
